cmd,pageIndex,pageSubIndex,pageUnit,pageSize,subPageSize,firstIndex,lastIndex,recordCountPerPage,currentPage,searchWord,searchKey,sgId,subSgId,sgName,menuId,menuName,upperMenuId,urlPathName,menuDepth,menuSgId,cvId,cvName,wiwsidocode,wiwid,wiwname,sortYn,sggid,sggname,hSgId,hRegionId,hGuId,hSggId,sgBireYn,jdid,jdname,huboid,hbjname,hbjgiho,hbjjikup,hbjhakruk,cnt,sgTypecode,filename,fileinfo,fileTypeCode,filePathName,updtFileName,fileTypeName,psgId,psidoId,pwiwid,psggid,psubSgId,roleId,phGuId,atchSeqNo,hbjgihosangse,hSubSgId,psggname,elecEndYn,fileDispYn,pdfLink
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2300301,서구갑,,,,,,5041,충청의미래당,100137625,이강철,8,사단법인 한국청년회의소(JC)연수원 교수,한남대학교 국어국문학과 졸업,28,,Gsg3003/Hb100137625/gicho/thumbnail.100137625.JPG,선거공보||20200415/PDF/PBINFO/3003/003_100137625_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137625.pdf&requestedFullPath=20200415/PDF/PBINFO/3003/003_100137625_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2300302,서구을,,,,,,100,더불어민주당,100137456,박범계,1,국회의원,연세대학교 법학과 졸업,28,,Gsg3003/Hb100137456/gicho/thumbnail.100137456.JPG,선거공보||20200415/PDF/PBINFO/3003/003_100137456_20200404_2.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137456.pdf&requestedFullPath=20200415/PDF/PBINFO/3003/003_100137456_20200404_2.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2300302,서구을,,,,,,200,미래통합당,100134712,양홍규,2,법무법인 충청우산 변호사,성균관대학교 법학과 졸업,28,,Gsg3003/Hb100134712/gicho/thumbnail.100134712.JPG,선거공보||20200415/PDF/PBINFO/3003/003_100134712_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100134712.pdf&requestedFullPath=20200415/PDF/PBINFO/3003/003_100134712_20200403_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2310101,중구,,,,,,100,더불어민주당,100136207,임동호,1,정당인,성균관대학교 대학원 섬유공학과 졸업(공학박사),28,,Gsg3101/Hb100136207/gicho/thumbnail.100136207.JPG,선거공보||20200415/PDF/PBINFO/3101/003_100136207_20200404_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100136207.pdf&requestedFullPath=20200415/PDF/PBINFO/3101/003_100136207_20200404_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2310101,중구,,,,,,200,미래통합당,100136610,박성민,2,정당인,울산대학교 정책대학원 졸업(행정학석사),28,,Gsg3101/Hb100136610/gicho/thumbnail.100136610.JPG,선거공보||20200415/PDF/PBINFO/3101/003_100136610_20200404_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100136610.pdf&requestedFullPath=20200415/PDF/PBINFO/3101/003_100136610_20200404_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2310101,중구,,,,,,5031,국가혁명배당금당,100136462,송난희,7,정당인,지산간호보건전문대학(현.부산가톨릭대학교) 임상병리과 졸업,28,,Gsg3101/Hb100136462/gicho/thumbnail.100136462.JPG,선거공보||20200415/PDF/PBINFO/3101/003_100136462_20200404_2.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100136462.pdf&requestedFullPath=20200415/PDF/PBINFO/3101/003_100136462_20200404_2.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2310101,중구,,,,,,1988,노동당,100134768,이향희,8,정당인,숙명여자대학교 교육심리학과 졸업,28,,Gsg3101/Hb100134768/gicho/thumbnail.100134768.JPG,선거공보||20200415/PDF/PBINFO/3101/003_100134768_20200404_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100134768.pdf&requestedFullPath=20200415/PDF/PBINFO/3101/003_100134768_20200404_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2310101,중구,,,,,,9999,무소속,100135271,이철수,9,울산사회교육연구소장,부산대학교 교육대학원 졸업(교육학 석사),28,,Gsg3101/Hb100135271/gicho/thumbnail.100135271.JPG,선거공보||20200415/PDF/PBINFO/3101/003_100135271_20200404_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100135271.pdf&requestedFullPath=20200415/PDF/PBINFO/3101/003_100135271_20200404_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2310201,남구갑,,,,,,100,더불어민주당,100135314,심규명,1,변호사,고려대학교 법학과 졸업,28,,Gsg3102/Hb100135314/gicho/thumbnail.100135314.JPG,선거공보||20200415/PDF/PBINFO/3102/003_100135314_20200402_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100135314.pdf&requestedFullPath=20200415/PDF/PBINFO/3102/003_100135314_20200402_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2310201,남구갑,,,,,,200,미래통합당,100137075,이채익,2,국회의원,울산대학교 일반대학원 졸업(행정학박사),28,,Gsg3102/Hb100137075/gicho/thumbnail.100137075.JPG,선거공보||20200415/PDF/PBINFO/3102/003_100137075_20200402_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137075.pdf&requestedFullPath=20200415/PDF/PBINFO/3102/003_100137075_20200402_1.pdf
